,label
GCA_000474035.1_ASM47403v1.AGX32196.1,False
GCA_000474035.1_ASM47403v1.AGX32198.1,False
GCA_000474035.1_ASM47403v1.AGX32202.1,False
GCA_000474035.1_ASM47403v1.AGX32204.1,False
GCA_000474035.1_ASM47403v1.AGX32207.1,False
GCA_000474035.1_ASM47403v1.AGX32213.1,False
GCA_000474035.1_ASM47403v1.AGX32216.1,False
GCA_000474035.1_ASM47403v1.AGX32219.1,False
GCA_000474035.1_ASM47403v1.AGX32220.1,False
GCA_000474035.1_ASM47403v1.AGX32222.1,False
GCA_000474035.1_ASM47403v1.AGX32223.1,False
GCA_000474035.1_ASM47403v1.AGX32233.1,False
GCA_000474035.1_ASM47403v1.AGX32234.1,False
GCA_000474035.1_ASM47403v1.AGX32235.1,False
GCA_000474035.1_ASM47403v1.AGX32241.1,False
GCA_000474035.1_ASM47403v1.AGX32242.1,False
GCA_000474035.1_ASM47403v1.AGX32246.1,False
GCA_000474035.1_ASM47403v1.AGX32248.1,False
GCA_000474035.1_ASM47403v1.AGX32253.1,False
GCA_000474035.1_ASM47403v1.AGX32259.1,False
GCA_000474035.1_ASM47403v1.AGX32260.1,False
GCA_000474035.1_ASM47403v1.AGX32263.1,False
GCA_000474035.1_ASM47403v1.AGX32266.1,False
GCA_000474035.1_ASM47403v1.AGX32270.1,False
GCA_000474035.1_ASM47403v1.AGX32283.1,False
GCA_000474035.1_ASM47403v1.AGX32286.1,False
GCA_000474035.1_ASM47403v1.AGX32289.1,True
GCA_000474035.1_ASM47403v1.AGX32290.1,True
GCA_000474035.1_ASM47403v1.AGX32291.1,True
GCA_000474035.1_ASM47403v1.AGX32292.1,False
GCA_000474035.1_ASM47403v1.AGX32295.1,False
GCA_000474035.1_ASM47403v1.AGX32302.1,False
GCA_000474035.1_ASM47403v1.AGX32313.1,False
GCA_000474035.1_ASM47403v1.AGX32317.1,False
GCA_000474035.1_ASM47403v1.AGX32327.1,False
GCA_000474035.1_ASM47403v1.AGX32332.1,False
GCA_000474035.1_ASM47403v1.AGX32337.1,False
GCA_000474035.1_ASM47403v1.AGX32342.1,False
GCA_000474035.1_ASM47403v1.AGX32345.1,False
GCA_000474035.1_ASM47403v1.AGX32349.1,False
GCA_000474035.1_ASM47403v1.AGX32350.1,False
GCA_000474035.1_ASM47403v1.AGX32359.1,False
GCA_000474035.1_ASM47403v1.AGX32363.1,False
GCA_000474035.1_ASM47403v1.AGX32367.1,False
GCA_000474035.1_ASM47403v1.AGX32370.1,False
GCA_000474035.1_ASM47403v1.AGX32372.1,False
GCA_000474035.1_ASM47403v1.AGX32376.1,False
GCA_000474035.1_ASM47403v1.AGX32377.1,False
GCA_000474035.1_ASM47403v1.AGX32381.1,False
GCA_000474035.1_ASM47403v1.AGX32385.1,False
GCA_000474035.1_ASM47403v1.AGX32387.1,False
GCA_000474035.1_ASM47403v1.AGX32389.1,False
GCA_000474035.1_ASM47403v1.AGX32396.1,False
GCA_000474035.1_ASM47403v1.AGX32398.1,False
GCA_000474035.1_ASM47403v1.AGX32404.1,False
GCA_000474035.1_ASM47403v1.AGX32407.1,False
GCA_000474035.1_ASM47403v1.AGX32413.1,False
GCA_000474035.1_ASM47403v1.AGX32415.1,False
GCA_000474035.1_ASM47403v1.AGX32420.1,False
GCA_000474035.1_ASM47403v1.AGX32422.1,False
GCA_000474035.1_ASM47403v1.AGX32431.1,False
GCA_000474035.1_ASM47403v1.AGX32432.1,False
GCA_000474035.1_ASM47403v1.AGX32433.1,False
GCA_000474035.1_ASM47403v1.AGX32444.1,False
GCA_000474035.1_ASM47403v1.AGX32449.1,False
GCA_000474035.1_ASM47403v1.AGX32450.1,False
GCA_000474035.1_ASM47403v1.AGX32456.1,False
GCA_000474035.1_ASM47403v1.AGX32459.1,False
GCA_000474035.1_ASM47403v1.AGX32463.1,False
GCA_000474035.1_ASM47403v1.AGX32472.1,False
GCA_000474035.1_ASM47403v1.AGX32482.1,False
GCA_000474035.1_ASM47403v1.AGX32484.1,False
GCA_000474035.1_ASM47403v1.AGX32488.1,False
GCA_000474035.1_ASM47403v1.AGX32491.1,False
GCA_000474035.1_ASM47403v1.AGX32492.1,False
GCA_000474035.1_ASM47403v1.AGX32498.1,False
GCA_000474035.1_ASM47403v1.AGX32501.1,False
GCA_000474035.1_ASM47403v1.AGX32502.1,False
GCA_000474035.1_ASM47403v1.AGX32507.1,False
GCA_000474035.1_ASM47403v1.AGX32508.1,False
GCA_000474035.1_ASM47403v1.AGX32511.1,False
GCA_000474035.1_ASM47403v1.AGX32514.1,False
GCA_000474035.1_ASM47403v1.AGX32515.1,False
GCA_000474035.1_ASM47403v1.AGX32518.1,False
GCA_000474035.1_ASM47403v1.AGX32544.1,False
GCA_000474035.1_ASM47403v1.AGX32547.1,False
GCA_000474035.1_ASM47403v1.AGX32551.1,False
GCA_000474035.1_ASM47403v1.AGX32559.1,False
GCA_000474035.1_ASM47403v1.AGX32561.1,False
GCA_000474035.1_ASM47403v1.AGX32580.1,False
GCA_000474035.1_ASM47403v1.AGX32586.1,False
GCA_000474035.1_ASM47403v1.AGX32590.1,True
GCA_000474035.1_ASM47403v1.AGX32596.1,True
GCA_000474035.1_ASM47403v1.AGX32597.1,True
GCA_000474035.1_ASM47403v1.AGX32598.1,False
GCA_000474035.1_ASM47403v1.AGX32604.1,False
GCA_000474035.1_ASM47403v1.AGX32606.1,False
GCA_000474035.1_ASM47403v1.AGX32607.1,False
GCA_000474035.1_ASM47403v1.AGX32610.1,False
GCA_000474035.1_ASM47403v1.AGX32611.1,False
GCA_000474035.1_ASM47403v1.AGX32625.1,False
GCA_000474035.1_ASM47403v1.AGX32628.1,False
GCA_000474035.1_ASM47403v1.AGX32634.1,False
GCA_000474035.1_ASM47403v1.AGX32635.1,False
GCA_000474035.1_ASM47403v1.AGX32639.1,False
GCA_000474035.1_ASM47403v1.AGX32646.1,False
GCA_000474035.1_ASM47403v1.AGX32653.1,False
GCA_000474035.1_ASM47403v1.AGX32657.1,False
GCA_000474035.1_ASM47403v1.AGX32659.1,False
GCA_000474035.1_ASM47403v1.AGX32661.1,False
GCA_000474035.1_ASM47403v1.AGX32667.1,False
GCA_000474035.1_ASM47403v1.AGX32674.1,False
GCA_000474035.1_ASM47403v1.AGX32682.1,False
GCA_000474035.1_ASM47403v1.AGX32686.1,False
GCA_000474035.1_ASM47403v1.AGX32691.1,False
GCA_000474035.1_ASM47403v1.AGX32697.1,False
GCA_000474035.1_ASM47403v1.AGX32705.1,True
GCA_000474035.1_ASM47403v1.AGX32708.1,False
GCA_000474035.1_ASM47403v1.AGX32709.1,True
GCA_000474035.1_ASM47403v1.AGX32725.1,False
GCA_000474035.1_ASM47403v1.AGX32732.1,False
GCA_000474035.1_ASM47403v1.AGX32736.1,False
GCA_000474035.1_ASM47403v1.AGX32742.1,False
GCA_000474035.1_ASM47403v1.AGX32749.1,False
GCA_000474035.1_ASM47403v1.AGX32753.1,False
GCA_000474035.1_ASM47403v1.AGX32762.1,False
GCA_000474035.1_ASM47403v1.AGX32765.1,False
GCA_000474035.1_ASM47403v1.AGX32766.1,False
GCA_000474035.1_ASM47403v1.AGX32771.1,False
GCA_000474035.1_ASM47403v1.AGX32774.1,False
GCA_000474035.1_ASM47403v1.AGX32792.1,False
GCA_000474035.1_ASM47403v1.AGX32796.1,False
GCA_000474035.1_ASM47403v1.AGX32797.1,False
GCA_000474035.1_ASM47403v1.AGX32803.1,False
GCA_000474035.1_ASM47403v1.AGX32840.1,False
GCA_000474035.1_ASM47403v1.AGX32852.1,False
GCA_000474035.1_ASM47403v1.AGX32853.1,False
GCA_000474035.1_ASM47403v1.AGX32855.1,False
GCA_000474035.1_ASM47403v1.AGX32868.1,False
GCA_000474035.1_ASM47403v1.AGX32874.1,False
GCA_000474035.1_ASM47403v1.AGX32878.1,False
GCA_000474035.1_ASM47403v1.AGX32880.1,False
GCA_000474035.1_ASM47403v1.AGX32891.1,False
GCA_000474035.1_ASM47403v1.AGX32903.1,False
GCA_000474035.1_ASM47403v1.AGX32916.1,False
GCA_000474035.1_ASM47403v1.AGX32918.1,False
GCA_000474035.1_ASM47403v1.AGX32919.1,False
GCA_000474035.1_ASM47403v1.AGX32927.1,False
GCA_000474035.1_ASM47403v1.AGX32929.1,False
GCA_000474035.1_ASM47403v1.AGX32931.1,False
GCA_000474035.1_ASM47403v1.AGX32942.1,False
GCA_000474035.1_ASM47403v1.AGX32944.1,False
GCA_000474035.1_ASM47403v1.AGX32949.1,False
GCA_000474035.1_ASM47403v1.AGX32950.1,False
GCA_000474035.1_ASM47403v1.AGX32953.1,False
GCA_000474035.1_ASM47403v1.AGX32959.1,False
GCA_000474035.1_ASM47403v1.AGX32962.1,False
GCA_000474035.1_ASM47403v1.AGX32974.1,False
GCA_000474035.1_ASM47403v1.AGX32983.1,False
GCA_000474035.1_ASM47403v1.AGX32985.1,False
GCA_000474035.1_ASM47403v1.AGX32988.1,False
GCA_000474035.1_ASM47403v1.AGX32996.1,False
