,label
GCA_000830275.1_ASM83027v1_1010,True
GCA_000830275.1_ASM83027v1_1339,True
GCA_000830275.1_ASM83027v1_174,True
GCA_000830275.1_ASM83027v1_229,True
GCA_000830275.1_ASM83027v1_401,True
GCA_000830275.1_ASM83027v1_405,False
GCA_000830275.1_ASM83027v1_714,True
GCA_000830275.1_ASM83027v1_797,True
GCA_000830315.1_ASM83031v1_27,True
GCA_000830315.1_ASM83031v1_399,True
GCA_000830315.1_ASM83031v1_575,True
GCA_000830315.1_ASM83031v1_597,True
GCA_000830315.1_ASM83031v1_669,True
GCA_000830315.1_ASM83031v1_949,True
GCA_000965745.1_ASM96574v1_1404,True
GCA_000965745.1_ASM96574v1_1619,True
GCA_000965745.1_ASM96574v1_250,True
GCA_000965745.1_ASM96574v1_528,False
GCA_000965745.1_ASM96574v1_696,True
GCA_000965745.1_ASM96574v1_716,False
GCA_000965745.1_ASM96574v1_934,False
GCA_013348845.1_ASM1334884v1_1019,True
GCA_013348845.1_ASM1334884v1_1033,True
GCA_013348845.1_ASM1334884v1_105,True
GCA_013348845.1_ASM1334884v1_1069,True
GCA_013348845.1_ASM1334884v1_1234,False
GCA_013348845.1_ASM1334884v1_1504,True
GCA_013348845.1_ASM1334884v1_2007,True
GCA_013348845.1_ASM1334884v1_494,True
GCA_013374135.1_ASM1337413v1_118,True
GCA_013374135.1_ASM1337413v1_27,True
GCA_013374135.1_ASM1337413v1_925,True
GCA_014058405.1_ASM1405840v1_1146,True
GCA_014058405.1_ASM1405840v1_1179,True
GCA_014058405.1_ASM1405840v1_1596,True
GCA_014058405.1_ASM1405840v1_1855,False
GCA_014058405.1_ASM1405840v1_1965,False
GCA_014058405.1_ASM1405840v1_2017,True
GCA_014058405.1_ASM1405840v1_2091,True
GCA_014058405.1_ASM1405840v1_2662,True
GCA_014058405.1_ASM1405840v1_2823,True
GCA_014058405.1_ASM1405840v1_2897,True
GCA_014058405.1_ASM1405840v1_3103,True
GCA_014058405.1_ASM1405840v1_3356,True
GCA_014058405.1_ASM1405840v1_3368,True
GCA_014058405.1_ASM1405840v1_3416,True
GCA_014058405.1_ASM1405840v1_3552,True
GCA_014058405.1_ASM1405840v1_660,True
GCA_014058405.1_ASM1405840v1_753,True
GCA_014058405.1_ASM1405840v1_912,True
GCA_014529665.2_ASM1452966v2_1480,True
GCA_014529665.2_ASM1452966v2_191,True
GCA_014529665.2_ASM1452966v2_2050,True
GCA_014529665.2_ASM1452966v2_2082,True
GCA_014529665.2_ASM1452966v2_2209,False
GCA_014529665.2_ASM1452966v2_3355,True
GCA_014529665.2_ASM1452966v2_677,True
GCA_014529665.2_ASM1452966v2_721,True
GCA_014529675.2_ASM1452967v2_1268,True
GCA_014529675.2_ASM1452967v2_1599,True
GCA_014529675.2_ASM1452967v2_1919,True
GCA_014529675.2_ASM1452967v2_2020,True
GCA_014529675.2_ASM1452967v2_2074,True
GCA_014529675.2_ASM1452967v2_3148,True
GCA_014529675.2_ASM1452967v2_3414,True
GCA_014529675.2_ASM1452967v2_3451,True
GCA_014529675.2_ASM1452967v2_3478,True
GCA_014529675.2_ASM1452967v2_3493,True
GCA_014529675.2_ASM1452967v2_3871,True
GCA_014529675.2_ASM1452967v2_626,True
GCA_014529675.2_ASM1452967v2_629,True
GCA_014873095.1_ASM1487309v1_1062,True
GCA_014873095.1_ASM1487309v1_1274,True
